Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/08/2023,PROJECT Mandays Supp,CDIO - Core,CREDERA LTD,5100026112,"22,393.75",PROJECT Mandays Supp,SE1 0SW,,,,
HMRC,HMRC,01/08/2023,Employee education,Fraud Investigation Service,KENT POLICE,5100026116,"44,898.00",Employee education,ME15 9BZ,,,,
HMRC,HMRC,01/08/2023,Research (VAT rec),Knowledge Analysis & Intelligence,BMG Research,5100026120,"44,000.00",Research Services ,B15 3BE,,,,
HMRC,HMRC,01/08/2023,Ad campaign ser.,HMRC Communications,DWP,5100026122,"45,000.00",Ad campaign ser.,FY5 3TA,,,,
HMRC,HMRC,01/08/2023,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100026128,"36,300.00",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,01/08/2023,Contin Labor Run,HMRC Security,BSI CYBERSECURITY AND INFORMATION,5100026130,"34,650.00",Contin Labor Run,MK5 8PP,,,,
HMRC,HMRC,01/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,Automation Logic,5100026133,"168,250.00",PROJECT Mandays Supp,EC3V 1LP,,,,
HMRC,HMRC,01/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026137,"118,186.75",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,01/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026140,"323,316.53",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,01/08/2023,Disposal Seized Gds,Fraud Investigation Service,ENVA NORTHERN IRELAND LTD,5100026141,"137,280.00",Disposal Seized Goods,BT30 6LJ,,,,
HMRC,HMRC,01/08/2023,Forensic Services,Fraud Investigation Service,EUROFINS FORENSIC SERVICES LTD,5100026143,"80,970.07",Forensic Services,WV9 5GB,,,,
HMRC,HMRC,01/08/2023,Disposal Seized Gds,Fraud Investigation Service,ADLER AND ALLAN LTD,5100026156,"26,299.30",Disposal Seized Gds,HG1 1HQ,,,,
HMRC,HMRC,01/08/2023,Contin Labor Build,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100026158,"42,712.64",Contin Labor Build,AL1 5HE,,,,
HMRC,HMRC,01/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,EQUAL EXPERTS UK LTD,5100026164,"43,038.50",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246069,"30,656.49",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246070,"48,945.87",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246071,"41,081.79",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246074,"23,966.15",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246075,"79,973.49",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246076,"45,982.01",Accommodation Security Services,SE1 9SG,,,,
